,,,,,8408.385817,,,,,,,,,,,
,,,,,0.2100934377,,,,,,,,,,,
"In the last class, also",0,0,1,4,3,7,4,5,9,4,1,0,0,0,0,
post_id,platform,content_type,date,impressions,reach,likes,comments,shares,clicks,conversions,Duration_seconds,Promotion_Type,Paid_Amount_INR,Post_Theme,Time_Posted,
1,YouTube,Reel,2022-05-17,4648,2839,#REF!,279,44,759,70,107,Organic,0,Awareness,Day,0
2,YouTube,Video,2022-03-24,14825,9155,3257,279,214,122,5,97,Organic,0,Entertainment,Day,1
3,YouTube,Reel,2025-07-16,8223,6772,5719,216,174,1206,142,19,Organic,0,Promotion,Day,1
4,YouTube,Image,2021-07-29,10105,6699,792,183,433,440,86,111,Paid,4855,Education,Day,1
5,Facebook,Video,2023-07-30,12270,9528,6201,40,282,177,46,76,Organic,0,Education,Day,0
6,YouTube,Video,2024-12-13,10606,9325,3733,148,40,2364,196,25,Organic,0,Awareness,Day,1
7,Facebook,Story,2023-07-18,8628,5589,1332,189,181,778,71,107,Paid,3636,Awareness,Day,1
8,Facebook,Reel,2024-06-01,7865,7464,4375,125,83,1093,36,126,Organic,0,Promotion,Night,0
9,Facebook,Reel,2024-11-10,16147,12796,11216,166,431,1105,327,79,Organic,0,Awareness,Day,1
10,Instagram,Video,2023-04-02,2832,2168,864,290,448,32,5,92,Organic,0,Education,Day,1
11,Facebook,Image,2025-12-17,11311,8527,2340,135,71,2044,405,121,Organic,0,Entertainment,Day,1
12,Facebook,Image,2022-06-23,9081,8499,6543,185,112,2299,551,104,Organic,0,Education,Night,1
13,YouTube,Video,2025-03-28,5532,5406,1252,81,405,1010,46,108,Organic,0,Promotion,Day,1
14,Facebook,Image,2023-02-21,14833,13784,8669,128,497,520,98,156,Organic,0,Entertainment,Day,1
15,YouTube,Story,2025-01-16,19128,18527,11146,57,150,94,21,135,Organic,0,Entertainment,Night,1
16,Facebook,Story,2025-01-18,15246,10442,,91,259,1858,3,154,Organic,0,Education,Night,1
17,Facebook,Reel,2025-09-20,4486,4473,1252,191,390,1280,152,57,Paid,1789,Entertainment,Night,1
18,YouTube,Story,2023-12-23,6293,5984,4002,9,57,1594,472,6,Paid,1589,Entertainment,Day,0
19,Facebook,Video,2022-05-09,12894,10255,1403,248,417,980,29,92,Paid,3714,Awareness,Night,0
20,Facebook,Image,2021-09-20,3267,3050,2251,84,135,784,32,162,Organic,0,Entertainment,Night,0
21,Facebook,Reel,2022-03-10,18290,18120,10214,204,343,4969,866,42,Organic,0,Promotion,Night,1
22,YouTube,Reel,2021-09-05,13236,11529,1049,173,10,2119,462,134,Organic,0,Entertainment,Day,1
23,YouTube,Video,2021-01-15,19150,13375,3750,34,463,2410,225,25,Organic,0,Awareness,Day,1
24,Instagram,Image,2022-05-03,2029,1555,438,276,67,36,8,165,Paid,201,Motivation,Night,1
17,Facebook,Reel,2025-09-20,4486,4473,1252,191,390,1280,152,57,Paid,1789,Entertainment,Night,0
18,YouTube,Story,2023-12-23,6293,5984,4002,9,57,1594,472,6,Paid,1589,Entertainment,Day,0
19,Facebook,Video,2022-05-09,12894,10255,1403,248,417,980,29,92,Paid,3714,Awareness,Night,0
20,Facebook,Image,2021-09-20,3267,3050,2251,84,135,784,32,162,Organic,0,Entertainment,Night,0
31,YouTube,Story,2021-11-14,15909,11881,3566,29,296,1732,498,19,Organic,0,Motivation,Night,1
32,YouTube,Image,2021-04-28,18766,11758,8238,271,80,3063,321,179,Paid,4219,Education,Night,1
33,Facebook,Video,2021-05-21,2863,2757,963,206,61,82,5,55,Organic,0,Motivation,Night,0
34,Instagram,Story,2021-06-17,19667,13816,4272,104,342,325,79,618,Paid,66766,Motivation,Day,1
35,Facebook,Story,2021-09-26,11295,8732,7491,161,475,1087,202,59,Paid,2452,Promotion,Day,0
36,Facebook,Reel,2021-05-31,3377,2045,1036,135,67,469,25,68,Organic,0,Education,Night,0
37,YouTube,Image,2022-08-07,12436,8024,6830,278,360,1000,189,135,Paid,1913,Education,Day,1
38,Facebook,Video,2022-09-06,10912,10880,2200,135,59,32,8,55,Organic,0,Entertainment,Night,0
39,Instagram,Reel,2022-07-12,4507,4224,2808,104,351,1133,79,139,Paid,835,Entertainment,Night,1
40,YouTube,Video,2025-09-29,9650,7860,5196,216,424,2001,257,25,Organic,0,Education,Day,0
41,YouTube,Story,2025-04-29,10066,6219,1323,226,282,7,1,77,Organic,0,Education,Night,1
42,Facebook,Reel,2021-06-04,15014,13602,8938,18,427,39,1,171,Organic,0,Entertainment,Day,1
43,YouTube,Video,2023-05-31,13098,12629,5050,186,460,2263,151,22,Organic,0,Promotion,Night,1
44,YouTube,Video,2024-10-28,2307,2304,1448,286,452,366,26,136,Paid,4423,Promotion,Day,1
45,YouTube,Reel,2025-11-06,14316,13673,6755,12,91,1266,121,93,Organic,0,Promotion,Night,0
46,YouTube,Story,2025-07-19,11885,10503,2608,55,195,2743,752,64,Organic,0,Promotion,Night,1
47,Instagram,Story,2022-02-13,2268,2239,1250,116,114,481,56,18,Organic,0,Entertainment,Day,1
